id,name,code,nomenclature,level,version,tunit_code,tunit_name,processes,sources,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE22,Niederbayern,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,18.2,18.8,16.9,17.1,18,18.7,18.9,20.4,20.5,21.6,22,21.9,22.9,23.2,21.1,21.1,21.9,22.1,21.5,22.8,24.6
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE23,Oberpfalz,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,17.2,16.5,15.5,17.7,19.1,19.2,18.9,19.8,21.5,21.7,22.9,23.9,26.1,26.7,25.2,25,24.8,24.4,24.9,26.1,30
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE24,Oberfranken,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,20.5,19.3,17.4,17.3,18.1,19.1,19.8,21.1,23.2,25.2,24.4,26.3,26.1,26.1,24.4,23.5,23.2,24.8,24.7,26.1,27.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE25,Mittelfranken,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,23,23.9,22,21.8,24.1,23.7,23.4,24.7,26.4,26.7,27.5,27.8,29.1,28.9,27.8,28.4,29.4,30.1,30.7,30.9,33.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE26,Unterfranken,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19,19.8,19.1,19.6,20.9,22.3,22.5,22.8,24.7,26.1,27.9,26.6,27.9,28.4,25.7,26.9,27.2,27.7,27.4,28.8,31.6
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE27,Schwaben,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,21.6,20.5,19,22.4,22.3,21.2,20.3,21,22,24,24.6,26.2,25.2,26.2,25.2,25.6,24.4,25.9,26.7,27.9,33
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE30,Berlin,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,33.6,32,30.4,32.5,34.2,34.6,34.1,34.5,33.8,35.4,36,36.8,37.2,36.9,36.1,36.6,39.1,40.5,42.1,43.1,42.6
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE40,Brandenburg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,32.4,29.3,28,29.7,31.1,31.2,29.2,29.7,30.2,30.9,30.3,30.4,29.6,30,27.7,27.7,27.2,26.9,28.2,28.8,28.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE50,Bremen,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.5,19.7,18.1,18.6,21.6,21.5,22.7,22,24.1,23.8,25.8,28.5,27.2,26.5,26.5,26.2,27.6,28.4,28.4,28.8,30.4
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE60,Hamburg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,25.4,25.8,23.2,25.8,26.2,25.4,26.5,26.5,27.6,29.5,30.4,32.2,31.2,31.6,33.6,34.9,36.4,35.7,36.9,37.1,37.4
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE71,Darmstadt,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,26.8,26.7,25.1,28.3,28.3,27.9,27.4,27,27.7,29,30,31,32.2,32.5,32,32.3,33.3,34.4,33.9,34.8,32.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE72,Giessen,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,22.9,22.1,20.6,22.1,23.5,25.2,24.3,24.6,24.5,25.4,26,27,29.2,29.4,25.8,27.2,28.1,28.6,27.5,28.8,30.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE73,Kassel,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.9,19.4,19.3,21.3,22.6,21.9,22.3,22,23,23,23.4,24.8,24.6,26.3,22.5,23.1,24.1,25.6,25.4,25.8,28
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE80,Mecklenburg-Vorpommern,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,27.8,28.6,27,27.5,30.5,26.7,26.1,25,26.6,26.5,27.1,27.4,26.7,26.3,24.1,25.5,25.8,26.5,25.5,26,27.2
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE91,Braunschweig,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.1,18.6,18.7,20,20.2,20.2,21.8,21.5,21.7,21.2,22,23.9,25.2,25.7,25.3,26.2,25.1,27.2,28.5,29.2,32.4
