NUTS,Name,Unit,NACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BE21,Prov. Antwerpen,Million EUR,L,2987.6,3113.7,3076.1,3181.3,3271.9,3573.3,3904.7,4199.8,4415.9,4319.4,4535.7,4822.7,4980.8,5147.4,5260.7,5528.4,5760.7,6037.5,6293.9,6579.8
BE21,Prov. Antwerpen,Million EUR,M-N,5322.7,5693.1,5646.4,5956.2,6290.4,6886.2,7353,8080.7,8484.8,7903.8,8205.5,8789.2,9236.3,9834.9,10268.6,10764.9,11390.1,11830.6,12372.1,13012.4
BE21,Prov. Antwerpen,Million EUR,O-Q,6051,6438.7,6718.6,7099.9,7369.9,7769.6,8249.4,8663,9263.7,9434.9,9668.7,10167.7,10677.5,10993,11289.2,11469.2,11814.5,12156.4,12613,13084.9
BE21,Prov. Antwerpen,Million EUR,R-U,785.7,807.7,847.8,882.7,968.6,1009.1,1001,1032.7,1095.4,986.5,1000.8,1047.7,1125.9,1144.1,1163.6,1163.9,1141.8,1179.8,1206.5,1248.9
BE22,Prov. Limburg,Million EUR,A,282,276.1,256.5,245.8,273.7,225.8,258.9,286.6,232.3,211.8,254.9,249.8,299.6,279.2,260,293.3,271.9,293.1,281.1,325.2
BE22,Prov. Limburg,Million EUR,B-E,4611.1,4714,4932.7,4815.4,4679.1,4437.3,4657.7,4954.3,5084.3,4111.1,4440.9,4578.8,4558.1,4589.3,4919.6,4508.5,4616.9,4822.4,4771.7,4822.7
BE22,Prov. Limburg,Million EUR,F,1055.8,1082.9,1059,1084.2,1125,1209.1,1352,1469.9,1567.2,1560.7,1564.2,1755.2,1654.7,1605.4,1647.2,1659.2,1690,1749.3,1884.7,1980.6
BE22,Prov. Limburg,Million EUR,G-I,2585.9,2718,2820.2,3021.2,3197.2,3318.9,3511.2,3724.2,3847.4,3687.5,3774.2,3942.9,3987.4,4069.8,4206.3,4450.5,4620.4,4793.5,4989.9,4838.6
BE22,Prov. Limburg,Million EUR,J,185.4,202.8,193.9,193,223.3,221.4,236.5,263.5,302.9,304.6,371.1,398.9,423.7,421.1,443.5,480,517.1,492.5,563.3,674.9
BE22,Prov. Limburg,Million EUR,K,369.3,337.4,359.1,363.6,411.9,433.8,477,479.5,456.1,436,470.9,437.3,460,480,497.3,577.7,591,632,630.8,664.2
BE22,Prov. Limburg,Million EUR,L,1226,1262.3,1267.4,1318.6,1354.1,1503.9,1619.2,1698.8,1739.9,1727,1808.1,1946.1,2038,2121.6,2162.4,2246.2,2281.3,2371,2505.1,2597.2
BE22,Prov. Limburg,Million EUR,M-N,1412.5,1487.2,1494.4,1597.4,1665.1,1839.7,2027.3,2204.9,2338.1,2230.2,2419.5,2596.3,2665.1,2756.1,2922.6,3158.8,3371,3574.1,3701.2,3946.7
