"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","emp_rate","unemp_rate","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"SE32","Mellersta Norrland","Sweden",2017,0.0177463763691341,32878.4218650771,86500.06,3598.93333333333,0.71,0.074,81.4,1.9,0.145,0.517,0.337,0.303273891107374,0.0554538921445876,0.185231557969135,0.069952658601095,0.391844536476585,0.297517354808597,0.268884655806621,0.00598240154523018,0.666,0.062,0.469345849222646,0.0322675271340569,0.00536547641270434,0,0,0,1,0,0,0,0.160783848303114,0.00229522062016201,0.00489025443383268,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2018,-0.00203324515507491,32811.5719731134,83680.17,3498.1225,0.708,0.059,82,1.9,0.137,0.499,0.364,0.300995439463038,0.0527264738413054,0.191830426811715,0.0728852593142528,0.388191088013818,0.294374327661702,0.266745439775497,0.00203738766367103,0.669,0.055,0.473714185344667,0.0282099458688397,0.00065202233376091,0,0,0,1,0,0,0,0.160783848303114,0.00232130267266385,0.00490021777788838,1317.36472293195
"SE32","Mellersta Norrland","Sweden",2019,0.0111227463271784,33176.5267647663,83069.27,3459.18166666667,0.699,0.076,82.1,1.82,0.125,0.502,0.373,0.250113588174714,0.0504255770279275,0.196098624825831,0.0708411582964803,0.391068940449506,0.291580844490216,0.222127321882524,0.00050831128876871,0.652,0.067,0.476133476971365,0.0340475335487904,0.00209871124765591,0,0,0,1,0,0,0,0.162654843548981,0.00233434369891477,0.00490270861390231,1317.36472293195
"SE33","Övre Norrland","Sweden",2008,0.00916137764174625,32463.3284608933,77808.94,2995.44583333333,0.682,0.093,80.6,1.84,0.175,0.524,0.301,0.328185826829763,0.0366167905881195,0.313425951550709,0.0586766541822722,0.330024661291612,0.26126209233532,0.290607692684707,-0.00194170559576755,0.637,0.066,0.464710550307871,0.0340656462725685,-0.00098455625065226,0,0,0,1,0,0,0,0.100504144197122,0.00143871064282054,0.00309592851263522,1623.89131971081
"SE33","Övre Norrland","Sweden",2009,-0.0801252918000296,29862.194795164,66473.38,2807.60166666667,0.673,0.111,81.1,1.88,0.17,0.53,0.3,0.284178876747369,0.0299324612381358,0.251157433377462,0.0647414753816351,0.365509607257986,0.28865154336916,0.250694449026452,-0.00062027043791092,0.614,0.089,0.449236298292902,0.0451206632934538,5.5169369965795e-05,0,0,0,1,0,0,0,0.0923938755573044,0.00138994079052154,0.00309400819970095,1623.89131971081
"SE33","Övre Norrland","Sweden",2010,0.0962292715057577,32735.8120458657,86767.06,3394.41333333333,0.668,0.098,81.1,1.88,0.151,0.534,0.315,0.259841896339188,0.0287142485552402,0.340850231274668,0.0600861766734899,0.320453954287912,0.24989538920869,0.229264788057795,0.00039997793225201,0.605,0.095,0.454965326127418,0.0478599888523647,0.00059874224737114,0,0,0,1,0,0,0,0.101325382607006,0.00140822948513367,0.00309524573470304,1623.89131971081
"SE33","Övre Norrland","Sweden",2011,0.00755130929054289,32983.0102875011,91558.12,3355.7975,0.689,0.081,81.1,1.89,0.136,0.533,0.331,0.269022888322726,0.0289069510773706,0.336011717500954,0.0655292989097361,0.320833634178795,0.248723555683916,0.238378788432713,0.00054950357571233,0.634,0.08,0.470463179858664,0.0415346154603256,0.00071061593275722,0,0,0,1,0,0,0,0.10214662101689,0.00145699933743267,0.00309694658330196,1623.89131971081
"SE33","Övre Norrland","Sweden",2012,0.00398832835470305,33114.5573626542,92468.56,3628.72166666667,0.683,0.085,81,1.8,0.13,0.532,0.339,0.286765628057009,0.0323923807421603,0.300410862007555,0.072490305362276,0.331388553053372,0.263322915464766,0.254398105910574,0.00102950729316352,0.631,0.077,0.477845095598516,0.0395254585248155,0.00206279631803639,0,0,0,1,0,0,0,0.102659595388504,0.00148138426358217,0.00310013491239601,1623.89131971081
"SE33","Övre Norrland","Sweden",2013,-0.0102747762693817,32774.3126944933,91948.16,3747.7575,0.683,0.085,81.1,1.86,0.127,0.519,0.354,0.276048075619152,0.0325459686694826,0.285108712575903,0.0701044183161479,0.339954696815216,0.27228620362325,0.244980009181959,0.00229876920475171,0.634,0.072,0.478711090009456,0.0366881040294133,0.00353343718486488,0,0,0,1,0,0,0,0.10183835697862,0.00148748049511954,0.0031072614070632,1623.89131971081
"SE33","Övre Norrland","Sweden",2014,-0.0124563639201327,32366.0639283385,87647.63,3677.9275,0.693,0.072,81.5,1.79,0.133,0.497,0.37,0.292779887390337,0.028890925756187,0.261542490506743,0.0737357601152285,0.356742176247217,0.279088647374624,0.260313779181045,0.00342749292723984,0.642,0.074,0.479031144845332,0.0383224915876265,0.003771637054721,0,0,0,1,0,0,0,0.100914523694414,0.00149357672665692,0.003117911523559,1623.89131971081
"SE33","Övre Norrland","Sweden",2015,0.014750977697781,32843.4950155104,87046.91,3633.91833333333,0.69,0.066,81.4,1.79,0.127,0.5,0.373,0.35283180402435,0.0297177912821509,0.258688698520413,0.0789007883776019,0.350583798603926,0.282108923215908,0.313708641744694,0.00250464855733416,0.641,0.072,0.479784681996372,0.0368615060558189,0.00179236635266124,0,0,0,1,0,0,0,0.102659595388504,0.00149967295819429,0.00312572079615837,1623.89131971081
"SE33","Övre Norrland","Sweden",2016,0.0059770084728115,33039.8008634948,87688.15,3644.92416666667,0.71,0.058,81.8,1.82,0.117,0.506,0.376,0.321196641297154,0.0295592736598279,0.248831485771013,0.0762429682329583,0.357648080741231,0.287723362011913,0.284515647398817,0.00400210637177462,0.669,0.058,0.483699896266769,0.0308868608459503,0.00626867295282275,0,0,0,1,0,0,0,0.103686502962335,0.00151796165280642,0.00313823026327307,1623.89131971081
"SE33","Övre Norrland","Sweden",2017,0.0181761991629249,33640.3388642931,91850.12,3670.87083333333,0.711,0.051,81.9,1.73,0.127,0.49,0.382,0.294757718696398,0.032711874317792,0.270890184001247,0.0750721191330111,0.345923319819117,0.275412248557617,0.261334473909324,0.00645710222968169,0.669,0.059,0.486386955565077,0.0308817114644494,0.00657587443496119,0,0,0,1,0,0,0,0.10625281306631,0.00153625034741854,0.0031584941369033,1623.89131971081
"SE33","Övre Norrland","Sweden",2018,0.0142484510727554,34119.6615866718,90637.2,3604.59,0.691,0.068,81.7,1.69,0.105,0.5,0.395,0.320900094597178,0.0280850688402778,0.282213279875308,0.0763835449924763,0.34205947368679,0.271268435421497,0.284386972347948,0.00405322462970898,0.654,0.054,0.488268109172136,0.0274891100833131,0.00228563299923492,0,0,0,1,0,0,0,0.108203553924347,0.00154844281049329,0.00317129622313179,1623.89131971081
