"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"TR10","Istanbul","Turkey",2010,0.0576859515988189,9.35100007084125,10.6743838895137,6.85997160812833,0.487,0.326,77.5,1.74,0.685,0.18,0.136,0.279939556225969,0.00169165280275355,0.194464784106059,0.0754101375242438,0.637262733868168,0.0911713579661256,0.246350715902295,0.0252719373819668,0.41,0.135,0.0137739269542798,1,0,0,1,0,0,0,28.2346787791386,0.739696201805113,2.4529862858892,2077.9975948387
"TR10","Istanbul","Turkey",2011,0.101589070738745,9.44775381796322,10.6468096523352,6.79166237674527,0.499,0.292,78.1,1.71,0.663,0.187,0.151,0.315062670572238,0.00153671281933912,0.200258619086909,0.0878240672178831,0.624174024873335,0.0862065760025336,0.277436891888459,0.024648932725521,0.431,0.111,0.0156506349178877,1,0,0,1,0,0,0,31.8696696476932,0.78972305841532,2.5134497798267,2077.9975948387
"TR10","Istanbul","Turkey",2012,0.0412405141516586,9.4881666223622,10.729125740958,6.91931487532882,0.522,0.271,78.3,1.79,0.624,0.194,0.181,0.30626343336911,0.00179286331141688,0.193915632234016,0.093098662664132,0.623366267792747,0.0878265739976879,0.270580469274092,0.0228057330903913,0.453,0.107,0.0044192422482739,1,0,0,1,0,0,0,33.9407764562122,0.842206256185923,2.57077084464153,2077.9975948387
"TR10","Istanbul","Turkey",2013,0.0726281860454395,9.55827850782849,10.7619489396642,6.9263095784216,0.531,0.256,78.8,1.79,0.61,0.202,0.188,0.323236459181508,0.00144945361359217,0.194227822140157,0.100521917471962,0.61621654722816,0.0875837405867251,0.28345953935976,0.0216870288978283,0.464,0.106,0.00951304734200082,1,0,0,1,0,0,0,37.1953678460004,0.873088652301744,2.62652322623897,2077.9975948387
"TR10","Istanbul","Turkey",2014,0.0419380521680668,9.59936099849802,10.6605881612251,6.89635554825626,0.542,0.238,78.5,1.87,0.622,0.188,0.189,0.324805729119,0.00159535081077933,0.195868831795529,0.104971795362459,0.608967972344479,0.0885965696837586,0.287458995570969,0.0186438737131632,0.464,0.119,0.00239046700624301,1,0,0,1,0,0,0,39.4778174663877,0.955497960698242,2.67549179357366,2077.9975948387
"TR10","Istanbul","Turkey",2015,0.0523391723635904,9.65037646804123,10.720780814901,6.96027261559092,0.559,0.245,78.5,1.87,0.604,0.187,0.208,0.335175058214357,0.00150159075212572,0.189705682551544,0.109474598915345,0.612282002800328,0.0870361249806581,0.295551715560052,0.0174132860879292,0.474,0.128,0.0068459359935569,1,0,0,1,0,0,0,42.2674722526625,0.995324438749246,2.72208089760106,2077.9975948387
"TR10","Istanbul","Turkey",2016,0.0111257878328991,9.6614408195616,10.6841425076934,7.03817590067196,0.579,0.244,78.5,1.85,0.587,0.187,0.226,0.329987483420202,0.00133012012180313,0.186444730893534,0.11306768293822,0.607253077770928,0.0919039212389546,0.291087336170781,0.0147103861302428,0.487,0.135,-0.00203641626580534,1,0,0,1,0,0,0,43.3664197091841,1.04250118958556,2.76212375868253,2077.9975948387
"TR10","Istanbul","Turkey",2017,0.071276598102782,9.73029183921732,10.6384288149863,6.91760494470273,0.592,0.23,78.9,1.79,0.574,0.192,0.234,0.336581217128831,0.00118677263668635,0.184301306690097,0.11105100928144,0.61477398373053,0.088686927661247,0.298570496475747,0.012619426805641,0.495,0.138,0.00380862382592795,1,0,0,1,0,0,0,47.0436967227088,1.06250818209046,2.79698017728335,2077.9975948387
"TR10","Istanbul","Turkey",2018,0.0170713598732346,9.74721912085581,10.4462649383729,6.73791945006562,0.591,0.22,79.4,1.72,0.564,0.193,0.243,0.332025380688358,0.00114887484952595,0.189941084467563,0.0945833736061929,0.626252119816883,0.0880739980844764,0.297670193543305,0.00883347051762343,0.503,0.124,-0.0080083384058414,1,0,0,1,0,0,0,48.2694498663515,1.10659106810643,2.82168721921776,2077.9975948387
"TR10","Istanbul","Turkey",2019,-0.00568412719837135,9.74151877752755,10.4936971131877,6.82538221925732,0.59,0.232,79.6,1.59,0.556,0.197,0.247,0.288498496690481,0.00120200824888817,0.191180584156828,0.0696568042671293,0.645511463567588,0.0924491397595664,0.259777064318777,0.0162844786569239,0.489,0.148,0.0201373838918191,1,0,0,1,0,0,0,48.7766550322388,1.08302144338416,2.86763692451563,2077.9975948387
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2008,-0.0513602109459469,8.95011308533254,10.0944665255213,6.76777360413423,0.546,0.249,76.8744836167585,1.62782245133112,0.663,0.207,0.131,0.299068685508815,0.128901423811999,0.393375993728751,0.048985608507085,0.327442676868807,0.101294297083358,0.266517331713429,0.0129714924584189,0.472,0.099,0.00877826327182655,1,0,0,1,0,0,0,0.613951650807628,0.0289111984740431,0.0796433365787121,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2009,-0.0170430449052985,8.93292313621499,9.93142270727808,6.69899220615735,0.554,0.247,75.8,1.54,0.67,0.207,0.123,0.249050207493132,0.121261714107585,0.384261694624661,0.0405731876010677,0.342470824322481,0.111442320805814,0.222297579298831,0.0128067220610335,0.47,0.116,0.00062130216500415,1,0,0,1,0,0,0,0.611216748915947,0.0297190113725826,0.080663306654289,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2010,0.0597358672701074,8.99094283146736,10.1094552395894,6.86007125281643,0.562,0.272,76.3,1.52,0.707,0.184,0.109,0.279931750811835,0.132912935108232,0.388234091570282,0.0442990698296129,0.32457678426809,0.10998498203348,0.246344821859799,0.0126428072579689,0.493,0.084,0.00062785911752286,1,0,0,1,0,0,0,0.655917415700312,0.0312549187915161,0.0816831172931096,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2011,0.0810750938777372,9.06889883475865,10.0535893323334,6.79173911898124,0.573,0.275,76.8,1.57,0.693,0.191,0.116,0.315062357619985,0.114815243831808,0.417529634348817,0.0551835978223097,0.305540754469285,0.106930769527781,0.277436640214339,0.0124869141797915,0.506,0.081,0.0252049755777198,1,0,0,1,0,0,0,0.717950402423657,0.0336305264602472,0.0827030873686865,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2012,0.0340457133216212,9.10237782004329,10.1299001546764,6.91905123872399,0.564,0.255,77.1,1.64,0.659,0.212,0.129,0.306258422431543,0.117390739258621,0.402723908418669,0.0581789078372222,0.312360196187075,0.10935308885195,0.270576859154504,0.0149984481040201,0.507,0.062,0.00903829753827316,1,0,0,1,0,0,0,0.753528286926227,0.0350601427083203,0.083943505332628,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2013,0.0447002428372679,9.14610781535148,10.1132661899381,6.92613941703785,0.574,0.235,77.6,1.65,0.646,0.219,0.135,0.323238937816564,0.103137904766996,0.416547502906705,0.0584013791813116,0.313068812059818,0.10884440108517,0.283462444478301,0.0151560524494761,0.514,0.064,0.00642119443197126,1,0,0,1,0,0,0,0.7991421983352,0.0367661160006306,0.0852157575022422,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2014,0.0552872395295323,9.19992081017904,10.16676678291,6.89595341008983,0.592,0.233,77.3,1.7,0.662,0.208,0.13,0.324805273406663,0.106908846902795,0.423451397294879,0.0621283090363665,0.299938161149413,0.107579864217673,0.287458444197325,0.0179239634785212,0.52,0.076,0.0166127510446152,1,0,0,1,0,0,0,0.858440283166865,0.0350760863839494,0.0867431616275069,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2015,0.0392112058116841,9.23838277960878,10.2164710765884,6.96033349750099,0.606,0.232,77.3,1.76,0.654,0.211,0.135,0.33517341630726,0.100103316954793,0.432657768594048,0.0636480495921383,0.299493026105552,0.104097838753469,0.295550247090791,0.0226016738349937,0.532,0.073,0.0157153384819091,1,0,0,1,0,0,0,0.912263732233024,0.0366863976224853,0.0887037022740279,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2016,0.0336078351822672,9.27143821410445,10.2239436412344,7.03809982817776,0.61,0.212,77.8,1.74,0.633,0.219,0.148,0.329987423727235,0.0903744934556803,0.424664632726256,0.0652685267129349,0.310663049047464,0.109023475709162,0.291086515497804,0.0226293684506941,0.535,0.075,0.016571559138525,1,0,0,1,0,0,0,0.964260692049966,0.037552670664998,0.0907110110357276,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2017,0.0572380899337612,9.32709814627433,10.1623819578453,6.91750344418668,0.618,0.236,77.7,1.74,0.617,0.213,0.17,0.336579895969096,0.0866591520189745,0.449334836262872,0.0625359587633708,0.302071224770157,0.099392957366116,0.298569412401898,0.0237163413090858,0.542,0.083,0.0181014353409793,1,0,0,1,0,0,0,1.04363083069444,0.0393861933623408,0.0928623443339431,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2018,0.0129252747794934,9.33994060256087,10.0006619027854,6.73786809396836,0.626,0.219,77.8,1.72,0.61,0.208,0.182,0.332029355874451,0.0795622829434506,0.474503636721054,0.0554943974837822,0.288277308171155,0.102162374680558,0.297674227337081,0.0217590366961976,0.553,0.075,0.0133442369520652,1,0,0,1,0,0,0,1.08012195982162,0.0410443356277638,0.0948829394920003,1944.061993674
"TR21","Tekirdag, Edirne, Kirklareli","Turkey",2019,-0.00233432391008773,9.33760354986932,10.0566784862401,6.82528358203454,0.625,0.249,78.4,1.61,0.59,0.218,0.192,0.288496553109735,0.08875899393498,0.465009982796941,0.0449728141441792,0.292062734658513,0.109189195976744,0.259776236269172,0.0175764840310529,0.53,0.111,0.011013254656744,1,0,0,1,0,0,0,1.09654103513599,0.0403268702244558,0.0965506479628009,1944.061993674
"TR22","Balikesir, Çanakkale","Turkey",2008,-0.0192732505419464,8.6944614978693,9.8946662590803,6.76793750171491,0.49,0.33,76.5499115314127,2.11653409909238,0.774,0.149,0.076,0.299068790045118,0.195749809431591,0.199396361688539,0.056573064958075,0.40022456169266,0.148066503224211,0.266516730160187,0.00585471250996225,0.436,0.062,0.00464049935471061,1,0,0,1,0,0,0,0.400101735757505,0.0228508660219255,0.0670214444953902,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2009,0.0105146407418363,8.7049212442373,9.76621316363277,6.69904149106417,0.504,0.307,75.8,1.51,0.77,0.15,0.081,0.249043374653438,0.202254657104232,0.198428155717985,0.0473615470980455,0.390795774809248,0.16115986527049,0.222290394821609,0.00582125483967041,0.444,0.071,0.00477403085138014,1,0,0,1,0,0,0,0.406662245523224,0.0233249331241092,0.0674115934035207,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2010,0.0770941426464002,8.7791880505193,10.0024220655937,6.85999695728012,0.501,0.293,76.3,1.51,0.751,0.15,0.098,0.279940634558651,0.227027565111944,0.203652422580587,0.0453837939584804,0.367260321080161,0.156666847658866,0.246352573904179,0.00578694707543573,0.446,0.06,0.0123297778579196,1,0,0,1,0,0,0,0.440548283762619,0.0236492948256033,0.0678017007268176,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2011,0.0633616172383003,8.84062327757786,9.97984980332198,6.79177561627085,0.498,0.291,76.9,1.56,0.724,0.158,0.117,0.315063232107097,0.214239340154903,0.214906866375881,0.056492835523368,0.360299563821908,0.154070538318748,0.277437796924068,0.0057542643318411,0.446,0.043,-0.00416568841187322,1,0,0,1,0,0,0,0.471157790450465,0.0239237547268676,0.0681918496349481,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2012,0.0264505632620746,8.86673007340988,10.067119287636,6.91918553730454,0.501,0.266,77.1,1.6,0.708,0.164,0.128,0.306269169427064,0.206723101459944,0.208955956324377,0.0623727150042939,0.362384983437615,0.159571422729317,0.270585089855408,0.00588111536291982,0.448,0.045,0.0051143731710023,1,0,0,1,0,0,0,0.486464405460043,0.0244310896958712,0.0685928937694621,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2013,0.0161321127136333,8.88273344631118,10.052013155527,6.92623022791771,0.501,0.247,77.8,1.6,0.708,0.162,0.131,0.323232830400254,0.165198035130001,0.22962535251341,0.0675570506866166,0.372044954351082,0.16557460731889,0.283456130566237,0.00623897751336945,0.446,0.056,0.00324986745071577,1,0,0,1,0,0,0,0.497396106182037,0.0244227727291662,0.0690208432912667,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2014,0.0501479662591008,8.93166452079905,10.026793972847,6.89614817644038,0.513,0.239,77.8,1.66,0.659,0.177,0.164,0.324800995024876,0.173955223880597,0.220099502487562,0.0782835820895522,0.364560530679934,0.163109452736318,0.287455602195673,0.0139839494866728,0.453,0.056,0.0182581983041884,1,0,0,1,0,0,0,0.529643878645657,0.0250465452320395,0.0699860272773794,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2015,0.0213964755549735,8.95283530542236,10.1062398073224,6.96034931037773,0.508,0.219,77.7,1.61,0.643,0.184,0.173,0.335174512924308,0.167552492931415,0.221884028861456,0.0745252846746906,0.377168858056641,0.158869335475797,0.295549757835437,0.0103745164797946,0.447,0.053,-0.00259757825961669,1,0,0,1,0,0,0,0.546588759431009,0.0249217907314649,0.0707120984707239,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2016,0.0602793893969192,9.01136775371933,10.1259084427937,7.03799887689471,0.523,0.254,77.7,1.63,0.633,0.186,0.181,0.329986092626101,0.159538514453201,0.221074905414903,0.0779186792481046,0.377091713896906,0.164376186986885,0.291085974342908,0.0044518151291144,0.453,0.067,0.00732669789227166,1,0,0,1,0,0,0,0.582116786777491,0.025237835466254,0.0710268956605073,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2017,0.045557650127638,9.05591813328856,10.0295936331376,6.91733920608398,0.53,0.243,77.7,1.63,0.63,0.184,0.186,0.336574777852654,0.158896080490213,0.230539579056246,0.0781081038724945,0.378144148944506,0.15431992352176,0.298564626559622,0.0103103044496487,0.468,0.059,0.00939030255967455,1,0,0,1,0,0,0,0.614911888943472,0.026368942938131,0.0717592045788806,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2018,0.0256619279344736,9.0812563208013,9.88569622122744,6.73798364147851,0.528,0.255,78.3,1.6,0.632,0.175,0.193,0.332024672539393,0.146599549797054,0.251670536521385,0.0768092309328418,0.365373367128095,0.159547315620624,0.297669651440875,0.0148469236965479,0.463,0.057,0.016632880889432,1,0,0,1,0,0,0,0.640055545270321,0.0266392443560427,0.0728246080137882,2020.29703164587
"TR22","Balikesir, Çanakkale","Turkey",2019,0.00094250075344093,9.08219837767979,9.9486038333962,6.82529715654162,0.523,0.265,78.5,1.51,0.599,0.185,0.216,0.28849596565504,0.162671915698735,0.245641125713752,0.0684099335669379,0.354530259708305,0.168746765312269,0.259775085183431,0.0101471537148176,0.443,0.083,0.00108931599773884,1,0,0,1,0,0,0,0.647159661407093,0.0260154718531694,0.0735635705055254,2020.29703164587
"TR31","Izmir","Turkey",2008,-0.0683215634510679,8.93649206926423,10.2341314085259,6.76779277482914,0.464,0.326,76.8326953363905,1.71920787003757,0.623,0.197,0.181,0.299070151875194,0.0532355270861315,0.264972276750353,0.0527464958501223,0.508702689671798,0.120346454523539,0.266518329829515,0.0142242681365948,0.398,0.109,0.00687182963957337,1,0,0,1,0,0,0,2.42962475465883,0.0992732155253686,0.319499373256481,2161.96069514795
"TR31","Izmir","Turkey",2009,-0.0181809711657289,8.91814379329723,10.1006944377462,6.69907947985542,0.48,0.313,76.7,1.55,0.603,0.2,0.197,0.24904544168945,0.0574659815844882,0.255051695421263,0.0418748625121775,0.510425505169542,0.135181955312529,0.222291957392201,0.0140250414175926,0.391,0.154,0.011390716063784,1,0,0,1,0,0,0,2.41890787758464,0.0992986593225985,0.323980365199298,2161.96069514795
"TR31","Izmir","Turkey",2010,0.0810606530816035,8.9960864386889,10.2306407875454,6.8599156628987,0.518,0.289,77.6,1.52,0.617,0.196,0.187,0.279937625697711,0.0674822179900289,0.260855105248791,0.0499088544526404,0.489268043210206,0.13248891663869,0.246349160769458,0.0138307984417609,0.426,0.141,0.0134484580351199,1,0,0,1,0,0,0,2.65115347597635,0.110731405544572,0.328461272329458,2161.96069514795
