"Country","NUTS","Name","Year","GDP_growth","Employment_abs","GDP_EUR","Migration_abs","Population_abs","Pop_growth","Labor_Productivity_abs","Wage_EUR","GDP_capita","Activity_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","NEET_share","Life_exp","Fertility_rate","Labor_force_abs","Employment_rate","Unemployment_rate","Prodx_A","Prodx_B-E","Prodx_F","Prodx_G-I","Prodx_J","Prodx_K","Prodx_L-M-N","Prodx_O-Q","Prodx_R-U","inv_rate","GFCF_share","GVA_A","GVA_B-E","GVA_F","GVA_G-I","GVA_J","GVA_K","GVA_L-M-N","GVA_O-Q","GVA_R-U"
"Hungary","HU22","Nyugat-Dunántúl",2016,0.0303619426640178,449100,12573900000,3098,983590,-0.00034555303730956,28209.3,977.283333333333,12783.6801919499,0.615,0.148,0.661,0.19,0.107,76.6,1.42,461700,0.456592685976881,0.0128102156386299,23764.7058823529,33834.8432055749,14880.4664723032,14680.7286673058,34826.0869565217,25403.8461538462,37766.5706051873,17976.6009852217,13352.0408163265,0.263718675264975,0.225387509046517,0.0488726352325917,0.451811321105869,0.0474954170272559,0.142486251081768,0.0149074565199185,0.0122926030354634,0.121948949871118,0.13583279826545,0.024352567860566
"Hungary","HU22","Nyugat-Dunántúl",2017,0.0195956719397854,455600,12830200000,6352,984350,0.00077267967344117,29418.51,1047.77833333333,13034.1849951745,0.632,0.142,0.65,0.208,0.12,76.5,1.46,467300,0.462843500787322,0.0118860161527912,25109.0909090909,32814.4611186903,16569.4444444444,16089.6614821592,37000,30375,41968.2997118156,20478.8189987163,14010,0.255386726963989,0.226239653317953,0.0486015185774994,0.423248488901011,0.0524815456761013,0.154725978585066,0.0149746170562824,0.0128278446933371,0.128128876727756,0.140358440598633,0.0246526891843145
"Hungary","HU22","Nyugat-Dunántúl",2018,0.0187293389561273,462600,1.3111e+10,7927,987400,0.00309849139025753,30368.35,1087.11583333333,13278.306663966,0.645,0.141,0.654,0.205,0.092,76.7,1.47,472500,0.468503139558436,0.0100263317804335,26428.5714285714,32743.4695244474,18153.2258064516,16973.5401459854,37142.8571428571,31239.1304347826,43532.967032967,21258.3547557841,14216.9811320755,0.26634241737122,0.240996110136527,0.0483423667950739,0.41207758380889,0.0569234530021158,0.156811342543812,0.0153414311363617,0.012112987111512,0.133571603179554,0.139413148112245,0.0254060843104364
"Hungary","HU22","Nyugat-Dunántúl",2019,0.00375690081988615,460700,13220900000,8967,991950,0.00460806157585578,31313.75,1136.29916666667,13328.1919451585,0.65,0.13,0.65,0.221,0.09,77.3,1.48,469500,0.464438731790917,0.0088714148898634,28751.1737089202,31889.7795591182,21144.7721179625,17083.9552238806,39377.7777777778,31020.8333333333,45807.2916666667,23484.0848806366,14421.5246636771,0.288284443277138,0.265670264505442,0.0502634646005351,0.391823569001461,0.0647334985800817,0.150314351844252,0.0145439025591359,0.0122211461120504,0.144372034997291,0.145332326531952,0.0263957057732399
"Hungary","HU23","Dél-Dunántúl",2009,-0.0479200312209837,292900,6524800000,-347,950480,-0.00633533359817676,20913.78,907.985,6864.74202508206,0.514,0.238,0.609,0.153,0.201,74,1.29,335000,0.308160087534719,0.0442934096456527,17412.5,18723.1726283048,13398.5239852399,12839.2857142857,42000,33866.6666666667,39883.9779005525,16427.027027027,13315.3153153153,0.37582577968966,0.299932564982835,0.0802542633277001,0.231199108926102,0.0697303733292364,0.165693654939315,0.0233906898141035,0.0292671685358734,0.138634966968812,0.233445997849132,0.028383776309725
"Hungary","HU23","Dél-Dunántúl",2010,-0.00088043448843046,291700,6476600000,-1996,944290,-0.00651249894790001,21773.87,926.645,6858.698069449,0.528,0.223,0.616,0.161,0.204,74.2,1.22,339200,0.308909339291955,0.0503023435597115,19381.974248927,19379.3103448276,12000,13803.0769230769,47153.8461538462,32636.3636363636,39215.3110047847,16628.3870967742,13627.1186440678,0.313908414785689,0.261325386777013,0.0837583693454755,0.229315429270916,0.0502995344696478,0.166403917131888,0.0227386538568541,0.0266335293135746,0.152011424968006,0.239015523860749,0.0298236177828885
"Hungary","HU23","Dél-Dunántúl",2011,0.0132632482813587,284800,6504200000,-1605,935901,-0.00888392337099832,22515.24,949.829166666667,6949.66668483098,0.518,0.216,0.611,0.173,0.192,74.9,1.23,333100,0.304305690452302,0.0516080226434206,25370.8333333333,19202.9220779221,12331.797235023,14560.4229607251,43200,33565.2173913043,41107.6923076923,16525.3772290809,13553.7190082645,0.31672134753203,0.265674487254389,0.111603951685331,0.21681115856229,0.0490478197914185,0.17667112667021,0.0197950842207518,0.0282996389230008,0.146923513994025,0.220806832969812,0.0300592019648454
"Hungary","HU23","Dél-Dunántúl",2012,-0.00666081808412222,287200,6407700000,-870,928198,-0.00823057139590619,22189.14,943.083333333333,6903.37621929804,0.519,0.225,0.596,0.179,0.203,74.9,1.31,332100,0.309416740824695,0.0483732996623565,21976.5625,20239.6694214876,12023.3644859813,13526.0029717682,40115.3846153846,29000,45520.7100591716,16277.34375,12888.8888888889,0.33726586525021,0.282410225197809,0.10485509272202,0.228217314322989,0.0479545242754636,0.169658000186376,0.0194390084801044,0.0254030379274998,0.14337899543379,0.232988537880906,0.0281054887708508
"Hungary","HU23","Dél-Dunántúl",2013,0.0486047200374851,288100,6669500000,-2760,921340,-0.0073885097791635,22689.26,929.8975,7238.91288775045,0.529,0.222,0.595,0.183,0.203,75.2,1.35,323100,0.312696724336293,0.0379881476979183,24230.1255230126,22105.1752921536,12579.9086757991,14486.3123993559,36840,25209.3023255814,39590.9090909091,16009.840098401,12317.4603174603,0.30233906473647,0.250198665567134,0.10492272570797,0.239903610965159,0.049915750185712,0.162991683728009,0.0166868987009222,0.0196401717609117,0.142028880473973,0.235827007047995,0.0281195079086116
"Hungary","HU23","Dél-Dunántúl",2014,0.00879219542105081,298900,6669500000,-4042,913310,-0.00871556645755096,21731.49,905.783333333333,7302.55882449552,0.553,0.213,0.608,0.179,0.181,75.5,1.47,329500,0.327271134664024,0.0335045055895589,25873.417721519,20965.6301145663,12255.1440329218,14370.5426356589,37375,26589.7435897436,34711.7117117117,14607.4429771909,12484.375,0.337687178926659,0.277936876827348,0.111706197398623,0.23335883703137,0.0542500091084636,0.168852697926914,0.0217874448937953,0.018890953473968,0.140379640762196,0.221663569789048,0.0291106496156228
"Hungary","HU23","Dél-Dunántúl",2015,0.0425468457673445,304000,6.89e+09,-3045,905000,-0.0090987725963802,22667.52,926.265833333333,7613.25966850829,0.568,0.221,0.594,0.185,0.181,75.2,1.46,336100,0.335911602209945,0.0354696132596685,25686.1924686192,22315.7894736842,12867.8414096916,13929.3233082707,34394.7368421053,25078.9473684211,35033.3333333333,16180.3278688525,12414.8148148148,0.371655957692374,0.313134978229318,0.105751838900277,0.233725517217619,0.0503178239823603,0.159566588000207,0.0225146853628706,0.0164165991972576,0.144838159549362,0.238032075244182,0.0288711650100773
"Hungary","HU23","Dél-Dunántúl",2016,0.0325054358991607,314100,7055400000,-2181,897550,-0.00823204419889503,22662.33,938.495833333333,7860.73199264665,0.574,0.213,0.598,0.189,0.162,75.9,1.53,338400,0.3499526488775,0.0270737006294914,25611.7647058824,23000,10591.0931174089,13683.6734693878,36648.6486486486,22634.1463414634,36949.7907949791,16710.5855855856,13091.6030534351,0.292860217902441,0.250687416730448,0.108139881445177,0.234973672881412,0.0433155611484585,0.155429347286154,0.0224525615127331,0.0153657648110739,0.146223134748485,0.245703215551214,0.0283968606152929
"Hungary","HU23","Dél-Dunántúl",2017,0.0492245177586226,319800,7344800000,-2342,890530,-0.00782129129296418,24398.2,1011.52833333333,8247.67273421446,0.579,0.211,0.605,0.184,0.18,75.7,1.55,344800,0.359111989489405,0.0280731699100536,26480.9160305344,23151.7027863777,11896.6789667897,14832.3782234957,37800,28114.2857142857,41183.3333333333,18576.7918088737,15269.2307692308,0.384538653366584,0.346408343317721,0.104859064460062,0.226040958210534,0.0487266681780398,0.156472455225572,0.0228519610065745,0.0148719111312628,0.149384115468904,0.24679211063251,0.0300007556865412
"Hungary","HU23","Dél-Dunántúl",2018,0.0820495170851025,323800,7882200000,-2282,883220,-0.00820859488169966,26292.54,1043.92333333333,8924.39029913272,0.587,0.194,0.625,0.181,0.182,75.9,1.57,345900,0.36661307488508,0.0250220783043862,26802.3255813953,24567.526555387,15968.8581314879,16395.3823953824,38931.8181818182,28272.7272727273,42367.1875,19997.6744186047,14412.1621621622,0.412419164174953,0.376227449189313,0.0961685557332592,0.225158194840414,0.0641819066824282,0.158014046311105,0.0238230999235102,0.0129754537236632,0.150837911132745,0.239176691467909,0.0296641401849663
"Hungary","HU23","Dél-Dunántúl",2019,0.0201977247523251,322100,7985500000,-10,877080,-0.0069518353298159,27742.06,1088.12083333333,9104.64267797692,0.587,0.209,0.609,0.183,0.182,76,1.58,340900,0.367241300679528,0.0214347607971907,27531.25,26365.2694610778,15409.375,17612.5186289121,38755.5555555556,33742.8571428571,44125.9541984733,21069.7674418605,15791.9463087248,0.480533248522435,0.454098052720556,0.0933980016432112,0.233388990485277,0.0653441467228539,0.156608624208211,0.0231109697596141,0.015650261058546,0.15320293657735,0.228114812753439,0.0311812567914977
