"NUTS","Name","Year","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3"
"DEE0","Sachsen-Anhalt",2010,0.661,0.149,79,1.41,0.062,0.688,0.25
"DEE0","Sachsen-Anhalt",2011,0.679,0.142,79.2,1.4,0.058,0.688,0.254
"DEE0","Sachsen-Anhalt",2012,0.671,0.128,79.4,1.45,0.061,0.682,0.258
"DEE0","Sachsen-Anhalt",2013,0.678,0.123,79.3,1.45,0.063,0.68,0.257
"DEE0","Sachsen-Anhalt",2014,0.678,0.124,79.8,1.5,0.059,0.704,0.237
"DEE0","Sachsen-Anhalt",2015,0.68,0.123,79.2,1.54,0.069,0.697,0.234
"DEE0","Sachsen-Anhalt",2016,0.68,0.104,79.8,1.62,0.069,0.702,0.229
"DEE0","Sachsen-Anhalt",2017,0.674,0.125,79.4,1.61,0.079,0.699,0.222
"DEE0","Sachsen-Anhalt",2018,0.671,0.095,79.4,1.61,0.076,0.709,0.215
"DEE0","Sachsen-Anhalt",2019,0.67,0.091,80,1.56,0.084,0.685,0.231
"DEF0","Schleswig-Holstein",2009,0.649,0.114,80.1,1.4,0.138,0.634,0.228
"DEF0","Schleswig-Holstein",2010,0.651,0.112,80.2,1.45,0.13,0.642,0.228
"DEF0","Schleswig-Holstein",2011,0.661,0.098,80.3,1.37,0.122,0.635,0.244
"DEF0","Schleswig-Holstein",2012,0.665,0.093,80.4,1.44,0.124,0.627,0.249
"DEF0","Schleswig-Holstein",2013,0.666,0.092,80.3,1.42,0.121,0.631,0.248
"DEF0","Schleswig-Holstein",2014,0.67,0.101,80.8,1.48,0.12,0.646,0.234
"DEF0","Schleswig-Holstein",2015,0.673,0.093,80.5,1.52,0.117,0.645,0.238
"DEF0","Schleswig-Holstein",2016,0.673,0.092,80.6,1.61,0.123,0.636,0.241
"DEF0","Schleswig-Holstein",2017,0.682,0.09,80.7,1.58,0.126,0.632,0.242
"DEF0","Schleswig-Holstein",2018,0.685,0.085,80.4,1.58,0.127,0.629,0.244
"DEF0","Schleswig-Holstein",2019,0.7,0.078,80.9,1.54,0.123,0.63,0.247
"DEG0","Thüringen",2009,0.667,0.129,79.5,1.36,0.05,0.671,0.279
"DEG0","Thüringen",2010,0.681,0.115,79.9,1.43,0.048,0.669,0.282
"DEG0","Thüringen",2011,0.69,0.107,79.9,1.41,0.04,0.658,0.301
"DEG0","Thüringen",2012,0.686,0.096,80,1.48,0.04,0.655,0.305
"DEG0","Thüringen",2013,0.681,0.089,80.3,1.48,0.045,0.655,0.3
"DEG0","Thüringen",2014,0.682,0.087,80.6,1.55,0.041,0.689,0.27
"DEG0","Thüringen",2015,0.674,0.093,80,1.56,0.045,0.691,0.264
"DEG0","Thüringen",2016,0.689,0.097,80.4,1.63,0.049,0.682,0.269
"DEG0","Thüringen",2017,0.695,0.084,80.3,1.63,0.043,0.689,0.268
"DEG0","Thüringen",2018,0.689,0.067,80.3,1.6,0.043,0.674,0.283
"DEG0","Thüringen",2019,0.694,0.068,80.7,1.56,0.048,0.668,0.283
"DK01","Hovedstaden",2009,0.682,0.072,78.9,1.71,0.208,0.382,0.41
"DK01","Hovedstaden",2010,0.704,0.072,78.9,1.76,0.191,0.381,0.428
"DK01","Hovedstaden",2011,0.719,0.079,79.6,1.64,0.173,0.374,0.453
"DK01","Hovedstaden",2012,0.712,0.078,80,1.65,0.179,0.36,0.461
"DK01","Hovedstaden",2013,0.703,0.067,80.2,1.58,0.177,0.354,0.469
"DK01","Hovedstaden",2014,0.707,0.065,80.7,1.63,0.168,0.356,0.475
"DK01","Hovedstaden",2015,0.711,0.07,80.6,1.63,0.167,0.355,0.478
"DK01","Hovedstaden",2016,0.722,0.068,80.8,1.7,0.151,0.355,0.494
"DK01","Hovedstaden",2017,0.72,0.08,81,1.67,0.153,0.348,0.499
"DK01","Hovedstaden",2018,0.714,0.078,81.1,1.65,0.15,0.338,0.511
"DK01","Hovedstaden",2019,0.723,0.081,81.5,1.66,0.139,0.334,0.527
"DK02","Sjælland",2009,0.692,0.076,78.3,1.93,0.295,0.438,0.268
"DK02","Sjælland",2010,0.682,0.075,78.5,2,0.285,0.45,0.265
"DK02","Sjælland",2011,0.667,0.091,78.9,1.83,0.254,0.474,0.272
"DK02","Sjælland",2012,0.656,0.101,79.5,1.77,0.243,0.482,0.275
"DK02","Sjælland",2013,0.647,0.087,79.7,1.73,0.237,0.474,0.289
"DK02","Sjælland",2014,0.644,0.089,80,1.75,0.228,0.484,0.288
"DK02","Sjælland",2015,0.636,0.1,80.2,1.82,0.219,0.488,0.293
"DK02","Sjælland",2016,0.644,0.113,80.2,1.89,0.236,0.473,0.291
"DK02","Sjælland",2017,0.652,0.119,80.2,1.83,0.223,0.466,0.311
"DK02","Sjælland",2018,0.65,0.104,80.4,1.83,0.223,0.469,0.308
"DK02","Sjælland",2019,0.661,0.105,80.8,1.76,0.228,0.469,0.303
"DK03","Syddanmark",2009,0.705,0.092,79,1.96,0.297,0.444,0.259
"DK03","Syddanmark",2010,0.681,0.106,79.4,2,0.281,0.446,0.274
"DK03","Syddanmark",2011,0.679,0.083,79.9,1.85,0.265,0.46,0.275
"DK03","Syddanmark",2012,0.668,0.1,80.3,1.84,0.248,0.464,0.288
"DK03","Syddanmark",2013,0.652,0.097,80.6,1.81,0.252,0.465,0.283
"DK03","Syddanmark",2014,0.646,0.093,80.8,1.77,0.242,0.465,0.293
"DK03","Syddanmark",2015,0.652,0.093,81.1,1.79,0.239,0.46,0.301
"DK03","Syddanmark",2016,0.652,0.09,81.2,1.84,0.235,0.463,0.303
"DK03","Syddanmark",2017,0.665,0.11,81.3,1.82,0.212,0.463,0.325
"DK03","Syddanmark",2018,0.672,0.108,81.1,1.78,0.21,0.465,0.325
"DK03","Syddanmark",2019,0.674,0.115,81.5,1.73,0.205,0.464,0.331
"DK04","Midtjylland",2009,0.734,0.066,79.7,1.91,0.244,0.443,0.313
"DK04","Midtjylland",2010,0.713,0.077,80.1,1.92,0.251,0.429,0.32
"DK04","Midtjylland",2011,0.692,0.078,80.7,1.85,0.257,0.442,0.302
"DK04","Midtjylland",2012,0.687,0.086,80.7,1.78,0.24,0.445,0.314
"DK04","Midtjylland",2013,0.68,0.083,80.9,1.72,0.227,0.441,0.331
"DK04","Midtjylland",2014,0.671,0.082,81.2,1.74,0.218,0.451,0.331
"DK04","Midtjylland",2015,0.673,0.084,81.3,1.77,0.203,0.455,0.342
"DK04","Midtjylland",2016,0.677,0.084,81.5,1.87,0.193,0.445,0.362
"DK04","Midtjylland",2017,0.678,0.105,81.6,1.83,0.187,0.443,0.37
"DK04","Midtjylland",2018,0.691,0.098,81.3,1.81,0.194,0.429,0.377
"DK04","Midtjylland",2019,0.703,0.091,82,1.75,0.186,0.42,0.394
"DK05","Nordjylland",2009,0.726,0.064,78.9,1.93,0.261,0.44,0.299
"DK05","Nordjylland",2010,0.68,0.082,79.5,1.93,0.274,0.442,0.284
"DK05","Nordjylland",2011,0.66,0.107,80,1.82,0.263,0.455,0.282
"DK05","Nordjylland",2012,0.658,0.102,80.2,1.83,0.25,0.459,0.292
"DK05","Nordjylland",2013,0.652,0.098,80.1,1.7,0.256,0.47,0.275
"DK05","Nordjylland",2014,0.669,0.092,80.9,1.73,0.239,0.491,0.27
"DK05","Nordjylland",2015,0.667,0.104,80.6,1.77,0.222,0.489,0.289
"DK05","Nordjylland",2016,0.662,0.093,80.5,1.84,0.228,0.464,0.308
"DK05","Nordjylland",2017,0.652,0.095,81.3,1.81,0.23,0.455,0.315
"DK05","Nordjylland",2018,0.663,0.115,80.8,1.77,0.216,0.463,0.321
"DK05","Nordjylland",2019,0.68,0.107,81.3,1.75,0.22,0.464,0.316
"EE00","Eesti",2009,0.667,0.183,75.3,1.7,0.112,0.527,0.361
"EE00","Eesti",2010,0.666,0.181,76,1.72,0.107,0.538,0.355
"EE00","Eesti",2011,0.677,0.147,76.6,1.61,0.109,0.521,0.369
"EE00","Eesti",2012,0.679,0.151,76.7,1.56,0.1,0.523,0.376
"EE00","Eesti",2013,0.683,0.143,77.5,1.52,0.094,0.532,0.374
"EE00","Eesti",2014,0.683,0.138,77.4,1.54,0.118,0.506,0.376
"EE00","Eesti",2015,0.695,0.132,78,1.58,0.123,0.511,0.367
"EE00","Eesti",2016,0.706,0.141,78,1.6,0.114,0.509,0.377
"EE00","Eesti",2017,0.715,0.116,78.4,1.59,0.119,0.496,0.384
"EE00","Eesti",2018,0.719,0.121,78.5,1.67,0.12,0.49,0.391
"EE00","Eesti",2019,0.715,0.106,79,1.66,0.11,0.495,0.395
"EL30","Attiki",2009,0.614,0.129,80.2,1.4,0.279,0.438,0.283
"EL30","Attiki",2010,0.614,0.157,80.5,1.38,0.262,0.439,0.299
"EL30","Attiki",2011,0.611,0.199,80.5,1.33,0.247,0.435,0.318
"EL30","Attiki",2012,0.616,0.245,80.6,1.28,0.225,0.441,0.334
"EL30","Attiki",2013,0.613,0.261,81.1,1.23,0.208,0.44,0.352
"EL30","Attiki",2014,0.611,0.242,81.1,1.26,0.2,0.436,0.363
"EL30","Attiki",2015,0.604,0.203,80.7,1.3,0.18,0.449,0.37
"EL30","Attiki",2016,0.604,0.176,81,1.36,0.18,0.44,0.38
"EL30","Attiki",2017,0.601,0.176,80.9,1.34,0.172,0.444,0.384
"EL30","Attiki",2018,0.598,0.17,81.3,1.36,0.172,0.435,0.393
"EL30","Attiki",2019,0.607,0.15,81.2,1.35,0.15,0.449,0.402
"EL41","Voreio Aigaio",2009,0.53,0.2,80.8,1.47,0.374,0.443,0.183
"EL41","Voreio Aigaio",2010,0.555,0.206,81.4,1.5,0.398,0.435,0.167
"EL41","Voreio Aigaio",2011,0.546,0.25,81.6,1.38,0.384,0.43,0.186
"EL41","Voreio Aigaio",2012,0.574,0.255,80.7,1.42,0.416,0.378,0.206
"EL41","Voreio Aigaio",2013,0.573,0.241,81.9,1.36,0.356,0.371,0.274
"EL41","Voreio Aigaio",2014,0.551,0.266,81.9,1.4,0.371,0.376,0.253
"EL41","Voreio Aigaio",2015,0.541,0.256,81.8,1.44,0.378,0.393,0.229
"EL41","Voreio Aigaio",2016,0.578,0.243,82.2,1.55,0.305,0.439,0.256
"EL41","Voreio Aigaio",2017,0.636,0.272,81.8,1.55,0.317,0.44,0.242
"EL41","Voreio Aigaio",2018,0.638,0.266,82.9,1.63,0.282,0.473,0.245
"EL41","Voreio Aigaio",2019,0.637,0.257,82.7,1.6,0.231,0.499,0.269
"EL42","Notio Aigaio",2009,0.637,0.216,81.2,1.5,0.497,0.386,0.117
"EL42","Notio Aigaio",2010,0.624,0.222,81.1,1.48,0.508,0.368,0.123
"EL42","Notio Aigaio",2011,0.614,0.244,81.1,1.34,0.465,0.385,0.15
"EL42","Notio Aigaio",2012,0.602,0.201,81.4,1.39,0.449,0.385,0.166
"EL42","Notio Aigaio",2013,0.612,0.252,82.2,1.31,0.422,0.406,0.172
"EL42","Notio Aigaio",2014,0.616,0.22,81.6,1.39,0.405,0.417,0.178
"EL42","Notio Aigaio",2015,0.611,0.221,81.7,1.38,0.358,0.45,0.191
"EL42","Notio Aigaio",2016,0.627,0.273,81.9,1.54,0.37,0.456,0.174
"EL42","Notio Aigaio",2017,0.611,0.255,82.4,1.52,0.375,0.421,0.204
"EL42","Notio Aigaio",2018,0.634,0.223,82.7,1.54,0.318,0.473,0.208
"EL42","Notio Aigaio",2019,0.62,0.196,82.3,1.62,0.284,0.495,0.222
"EL43","Kriti",2009,0.637,0.156,81.3,1.74,0.434,0.37,0.196
"EL43","Kriti",2010,0.639,0.191,81.5,1.69,0.441,0.363,0.196
"EL43","Kriti",2011,0.635,0.234,81.5,1.52,0.428,0.366,0.206
"EL43","Kriti",2012,0.623,0.253,81.4,1.53,0.393,0.4,0.207
"EL43","Kriti",2013,0.622,0.265,82.3,1.42,0.396,0.389,0.216
"EL43","Kriti",2014,0.614,0.263,82,1.44,0.386,0.394,0.22
"EL43","Kriti",2015,0.606,0.246,81.7,1.47,0.365,0.393,0.241
"EL43","Kriti",2016,0.619,0.209,82.2,1.55,0.324,0.407,0.268
"EL43","Kriti",2017,0.616,0.191,81.7,1.49,0.317,0.404,0.279
"EL43","Kriti",2018,0.615,0.167,82.6,1.52,0.332,0.403,0.266
"EL43","Kriti",2019,0.621,0.17,82.1,1.54,0.278,0.459,0.263
"EL51","Anatoliki Makedonia, Thraki",2009,0.579,0.189,79.1,1.62,0.51,0.297,0.193
"EL51","Anatoliki Makedonia, Thraki",2010,0.587,0.235,79,1.62,0.502,0.314,0.184
"EL51","Anatoliki Makedonia, Thraki",2011,0.573,0.313,79.7,1.51,0.503,0.313,0.185
"EL51","Anatoliki Makedonia, Thraki",2012,0.564,0.319,79.8,1.41,0.517,0.291,0.193
"EL51","Anatoliki Makedonia, Thraki",2013,0.566,0.355,80,1.38,0.513,0.293,0.195
"EL51","Anatoliki Makedonia, Thraki",2014,0.572,0.298,80.6,1.35,0.497,0.297,0.205
"EL51","Anatoliki Makedonia, Thraki",2015,0.575,0.288,80.5,1.4,0.456,0.319,0.226
"EL51","Anatoliki Makedonia, Thraki",2016,0.587,0.27,81,1.41,0.404,0.35,0.246
"EL51","Anatoliki Makedonia, Thraki",2017,0.58,0.241,80.1,1.42,0.399,0.351,0.25
"EL51","Anatoliki Makedonia, Thraki",2018,0.578,0.219,81.4,1.32,0.393,0.356,0.251
"EL51","Anatoliki Makedonia, Thraki",2019,0.586,0.205,81.1,1.3,0.348,0.414,0.238
"EL52","Kentriki Makedonia",2009,0.562,0.151,80.1,1.52,0.406,0.354,0.24
"EL52","Kentriki Makedonia",2010,0.57,0.179,80.2,1.5,0.384,0.361,0.255
"EL52","Kentriki Makedonia",2011,0.563,0.228,80.7,1.41,0.36,0.375,0.266
"EL52","Kentriki Makedonia",2012,0.562,0.257,80.4,1.35,0.356,0.373,0.271
"EL52","Kentriki Makedonia",2013,0.562,0.27,81.3,1.3,0.345,0.384,0.271
"EL52","Kentriki Makedonia",2014,0.563,0.256,81.2,1.27,0.337,0.391,0.273
"EL52","Kentriki Makedonia",2015,0.582,0.239,81,1.31,0.318,0.391,0.291
"EL52","Kentriki Makedonia",2016,0.586,0.221,81.3,1.36,0.292,0.395,0.313
"EL52","Kentriki Makedonia",2017,0.581,0.2,81.4,1.29,0.277,0.412,0.311
"EL52","Kentriki Makedonia",2018,0.582,0.181,81.9,1.28,0.276,0.408,0.317
"EL52","Kentriki Makedonia",2019,0.578,0.165,81.7,1.27,0.222,0.464,0.314
"EL53","Dytiki Makedonia",2009,0.572,0.173,80.4,1.47,0.479,0.348,0.173
"EL53","Dytiki Makedonia",2010,0.564,0.203,80.9,1.49,0.463,0.354,0.184
"EL53","Dytiki Makedonia",2011,0.564,0.238,81.1,1.35,0.444,0.365,0.191
"EL53","Dytiki Makedonia",2012,0.551,0.319,80.9,1.36,0.453,0.369,0.178
"EL53","Dytiki Makedonia",2013,0.546,0.361,81.3,1.29,0.428,0.371,0.201
"EL53","Dytiki Makedonia",2014,0.555,0.268,82.2,1.33,0.426,0.351,0.223
"EL53","Dytiki Makedonia",2015,0.575,0.279,81.5,1.32,0.411,0.369,0.219
"EL53","Dytiki Makedonia",2016,0.586,0.264,81.8,1.31,0.388,0.393,0.218
"EL53","Dytiki Makedonia",2017,0.597,0.28,82.2,1.34,0.349,0.406,0.245
"EL53","Dytiki Makedonia",2018,0.597,0.291,83,1.26,0.326,0.414,0.26
"EL53","Dytiki Makedonia",2019,0.585,0.266,82.5,1.26,0.26,0.469,0.271
"EL54","Ipeiros",2009,0.584,0.203,82.2,1.43,0.483,0.327,0.19
"EL54","Ipeiros",2010,0.588,0.217,82.7,1.46,0.47,0.325,0.206
"EL54","Ipeiros",2011,0.564,0.267,82.2,1.38,0.449,0.321,0.23
"EL54","Ipeiros",2012,0.569,0.306,82.3,1.29,0.44,0.327,0.233
"EL54","Ipeiros",2013,0.565,0.295,82.6,1.29,0.4,0.344,0.256
"EL54","Ipeiros",2014,0.564,0.297,83.5,1.26,0.392,0.361,0.246
"EL54","Ipeiros",2015,0.557,0.267,82.9,1.28,0.366,0.377,0.258
"EL54","Ipeiros",2016,0.567,0.205,83.4,1.3,0.35,0.368,0.282
"EL54","Ipeiros",2017,0.565,0.262,83.6,1.26,0.341,0.36,0.3
"EL54","Ipeiros",2018,0.559,0.236,83.6,1.22,0.294,0.368,0.338
"EL54","Ipeiros",2019,0.555,0.225,84,1.24,0.286,0.395,0.318
"EL61","Thessalia",2009,0.596,0.172,80.3,1.59,0.406,0.355,0.239
"EL61","Thessalia",2010,0.599,0.22,81,1.6,0.409,0.352,0.239
"EL61","Thessalia",2011,0.583,0.258,80.7,1.51,0.392,0.364,0.244
"EL61","Thessalia",2012,0.584,0.296,80.8,1.41,0.378,0.384,0.238
"EL61","Thessalia",2013,0.579,0.289,81.8,1.34,0.37,0.379,0.251
"EL61","Thessalia",2014,0.575,0.292,81.7,1.32,0.341,0.396,0.263
"EL61","Thessalia",2015,0.584,0.281,81.7,1.35,0.331,0.409,0.261
"EL61","Thessalia",2016,0.583,0.257,81.9,1.35,0.322,0.423,0.256
"EL61","Thessalia",2017,0.59,0.248,81.8,1.33,0.298,0.415,0.286
"EL61","Thessalia",2018,0.582,0.224,82.6,1.32,0.265,0.414,0.321
"EL61","Thessalia",2019,0.585,0.172,82.3,1.28,0.263,0.419,0.318
"EL62","Ionia Nisia",2009,0.637,0.189,80.6,1.53,0.551,0.325,0.124
"EL62","Ionia Nisia",2010,0.636,0.208,81.6,1.56,0.525,0.326,0.149
"EL62","Ionia Nisia",2011,0.624,0.175,81.5,1.46,0.495,0.336,0.169
"EL62","Ionia Nisia",2012,0.619,0.204,81.4,1.38,0.478,0.375,0.147
"EL62","Ionia Nisia",2013,0.609,0.249,81.6,1.42,0.442,0.389,0.17
"EL62","Ionia Nisia",2014,0.605,0.252,81.7,1.43,0.396,0.427,0.177
"EL62","Ionia Nisia",2015,0.602,0.258,80.8,1.45,0.357,0.448,0.195
"EL62","Ionia Nisia",2016,0.605,0.236,81.4,1.49,0.379,0.413,0.208
"EL62","Ionia Nisia",2017,0.611,0.263,80.9,1.5,0.373,0.427,0.201
"EL62","Ionia Nisia",2018,0.627,0.241,81.3,1.6,0.309,0.463,0.228
"EL62","Ionia Nisia",2019,0.596,0.218,81.4,1.55,0.323,0.431,0.246
"EL63","Dytiki Elláda",2009,0.563,0.162,80.2,1.53,0.471,0.346,0.182
"EL63","Dytiki Elláda",2010,0.574,0.195,80.3,1.52,0.465,0.333,0.202
"EL63","Dytiki Elláda",2011,0.566,0.234,80.8,1.45,0.448,0.343,0.209
"EL63","Dytiki Elláda",2012,0.564,0.262,80.4,1.35,0.449,0.345,0.206
"EL63","Dytiki Elláda",2013,0.566,0.298,80.9,1.33,0.436,0.348,0.216
"EL63","Dytiki Elláda",2014,0.567,0.282,81.5,1.31,0.407,0.367,0.226
"EL63","Dytiki Elláda",2015,0.584,0.254,80.9,1.33,0.396,0.375,0.229
"EL63","Dytiki Elláda",2016,0.59,0.251,81.2,1.36,0.388,0.384,0.227
"EL63","Dytiki Elláda",2017,0.592,0.225,81.4,1.32,0.386,0.376,0.238
"EL63","Dytiki Elláda",2018,0.58,0.182,81.7,1.29,0.387,0.394,0.219
"EL63","Dytiki Elláda",2019,0.574,0.178,81.5,1.32,0.373,0.421,0.206
"EL64","Sterea Elláda",2009,0.573,0.24,81.2,1.52,0.494,0.352,0.154
"EL64","Sterea Elláda",2010,0.588,0.244,81.4,1.52,0.476,0.364,0.159
"EL64","Sterea Elláda",2011,0.591,0.29,80.9,1.34,0.442,0.385,0.173
"EL64","Sterea Elláda",2012,0.575,0.357,81.1,1.31,0.437,0.391,0.173
"EL64","Sterea Elláda",2013,0.581,0.387,82.2,1.25,0.437,0.38,0.183
"EL64","Sterea Elláda",2014,0.579,0.363,81.9,1.24,0.412,0.409,0.179
"EL64","Sterea Elláda",2015,0.597,0.302,81.7,1.23,0.405,0.405,0.19
"EL64","Sterea Elláda",2016,0.585,0.311,81.8,1.3,0.386,0.403,0.211
"EL64","Sterea Elláda",2017,0.586,0.273,81.9,1.24,0.368,0.399,0.233
"EL64","Sterea Elláda",2018,0.583,0.257,82.3,1.23,0.363,0.401,0.236
"EL64","Sterea Elláda",2019,0.582,0.264,81.8,1.12,0.308,0.46,0.232
"EL65","Peloponnisos",2009,0.634,0.209,80.6,1.57,0.476,0.374,0.15
"EL65","Peloponnisos",2010,0.623,0.222,80.9,1.59,0.462,0.384,0.155
"EL65","Peloponnisos",2011,0.611,0.277,81.2,1.44,0.437,0.39,0.173
"EL65","Peloponnisos",2012,0.603,0.355,80.7,1.41,0.41,0.413,0.177
"EL65","Peloponnisos",2013,0.608,0.349,82,1.31,0.406,0.403,0.191
"EL65","Peloponnisos",2014,0.615,0.332,82,1.33,0.398,0.41,0.193
"EL65","Peloponnisos",2015,0.621,0.317,81.3,1.32,0.379,0.414,0.208
"EL65","Peloponnisos",2016,0.609,0.303,82.3,1.37,0.349,0.437,0.214
"EL65","Peloponnisos",2017,0.619,0.29,81.8,1.35,0.325,0.445,0.23
"EL65","Peloponnisos",2018,0.613,0.233,82.1,1.35,0.335,0.427,0.238
"EL65","Peloponnisos",2019,0.607,0.194,82.1,1.32,0.295,0.467,0.238
"ES11","Galicia",2009,0.623,0.158,81.7,1.1,0.523,0.18,0.297
"ES11","Galicia",2010,0.617,0.161,82.3,1.09,0.512,0.187,0.301
"ES11","Galicia",2011,0.626,0.163,82.5,1.08,0.492,0.199,0.31
"ES11","Galicia",2012,0.629,0.19,82.5,1.09,0.486,0.201,0.313
"ES11","Galicia",2013,0.622,0.193,82.9,1.04,0.488,0.191,0.321
"ES11","Galicia",2014,0.617,0.188,83.4,1.07,0.47,0.196,0.334
"ES11","Galicia",2015,0.611,0.164,82.9,1.1,0.447,0.202,0.352
"ES11","Galicia",2016,0.613,0.157,83,1.12,0.435,0.208,0.357
"ES11","Galicia",2017,0.614,0.143,83.4,1.12,0.427,0.208,0.365
"ES11","Galicia",2018,0.616,0.12,83.5,1.04,0.411,0.22,0.369
"ES11","Galicia",2019,0.616,0.123,84,1.02,0.394,0.227,0.379
"ES12","Principado de Asturias",2009,0.595,0.173,81.3,1.08,0.466,0.214,0.321
"ES12","Principado de Asturias",2010,0.596,0.178,81.5,1.04,0.457,0.215,0.328
"ES12","Principado de Asturias",2011,0.6,0.183,81.7,1.05,0.443,0.206,0.351
"ES12","Principado de Asturias",2012,0.599,0.225,81.8,1.06,0.424,0.218,0.359
"ES12","Principado de Asturias",2013,0.602,0.224,82.5,0.96,0.401,0.222,0.377
"ES12","Principado de Asturias",2014,0.595,0.178,82.5,0.99,0.39,0.223,0.387
"ES12","Principado de Asturias",2015,0.584,0.178,82.4,1.01,0.367,0.236,0.396
"ES12","Principado de Asturias",2016,0.593,0.186,82.6,1.04,0.357,0.236,0.407
"ES12","Principado de Asturias",2017,0.581,0.16,82.8,1.03,0.349,0.235,0.416
"ES12","Principado de Asturias",2018,0.577,0.155,82.9,1.03,0.332,0.237,0.431
"ES12","Principado de Asturias",2019,0.581,0.171,83.2,0.96,0.331,0.236,0.433
"ES13","Cantabria",2009,0.632,0.145,82.3,1.26,0.455,0.207,0.338
"ES13","Cantabria",2010,0.624,0.17,82.5,1.26,0.411,0.232,0.357
"ES13","Cantabria",2011,0.633,0.191,82.8,1.22,0.412,0.235,0.352
"ES13","Cantabria",2012,0.634,0.181,82.8,1.19,0.384,0.256,0.361
"ES13","Cantabria",2013,0.628,0.186,83.4,1.18,0.368,0.26,0.372
"ES13","Cantabria",2014,0.63,0.179,83.1,1.15,0.361,0.265,0.374
"ES13","Cantabria",2015,0.626,0.147,82.9,1.15,0.376,0.243,0.381
"ES13","Cantabria",2016,0.624,0.156,83.5,1.15,0.365,0.244,0.391
"ES13","Cantabria",2017,0.626,0.132,83.6,1.17,0.343,0.253,0.404
"ES13","Cantabria",2018,0.612,0.113,83.6,1.12,0.313,0.281,0.406
"ES13","Cantabria",2019,0.616,0.131,83.9,1.07,0.313,0.267,0.42
"ES21","País Vasco",2009,0.643,0.133,82.3,1.29,0.357,0.211,0.433
"ES21","País Vasco",2010,0.649,0.128,82.8,1.33,0.336,0.226,0.437
"ES21","País Vasco",2011,0.659,0.143,82.9,1.35,0.332,0.223,0.445
"ES21","País Vasco",2012,0.651,0.151,83.1,1.35,0.321,0.219,0.46
"ES21","País Vasco",2013,0.646,0.144,83.7,1.3,0.319,0.213,0.468
"ES21","País Vasco",2014,0.639,0.14,83.9,1.38,0.316,0.214,0.47
"ES21","País Vasco",2015,0.634,0.128,83.5,1.39,0.301,0.222,0.478
"ES21","País Vasco",2016,0.64,0.114,83.9,1.39,0.295,0.219,0.486
"ES21","País Vasco",2017,0.63,0.09,84,1.35,0.288,0.215,0.497
"ES21","País Vasco",2018,0.629,0.082,84.1,1.3,0.283,0.222,0.496
"ES21","País Vasco",2019,0.629,0.088,84.5,1.28,0.279,0.213,0.508
"ES22","Comunidad Foral de Navarra",2009,0.667,0.132,83.3,1.44,0.404,0.238,0.359
"ES22","Comunidad Foral de Navarra",2010,0.666,0.13,84.1,1.44,0.375,0.239,0.387
"ES22","Comunidad Foral de Navarra",2011,0.672,0.122,83.9,1.43,0.381,0.22,0.399
"ES22","Comunidad Foral de Navarra",2012,0.67,0.141,83.8,1.46,0.376,0.221,0.402
"ES22","Comunidad Foral de Navarra",2013,0.662,0.177,84,1.36,0.358,0.239,0.403
"ES22","Comunidad Foral de Navarra",2014,0.658,0.166,83.9,1.44,0.347,0.225,0.427
"ES22","Comunidad Foral de Navarra",2015,0.647,0.123,84,1.44,0.348,0.229,0.423
"ES22","Comunidad Foral de Navarra",2016,0.643,0.141,84.1,1.46,0.321,0.234,0.445
"ES22","Comunidad Foral de Navarra",2017,0.653,0.143,84.1,1.46,0.321,0.224,0.455
"ES22","Comunidad Foral de Navarra",2018,0.659,0.106,84.4,1.39,0.313,0.233,0.454
"ES22","Comunidad Foral de Navarra",2019,0.647,0.09,85,1.4,0.292,0.237,0.471
"ES23","La Rioja",2009,0.667,0.197,83,1.41,0.429,0.22,0.352
"ES23","La Rioja",2010,0.661,0.166,83.3,1.44,0.45,0.194,0.356
"ES23","La Rioja",2011,0.677,0.196,83.2,1.37,0.442,0.227,0.331
"ES23","La Rioja",2012,0.67,0.195,83,1.41,0.406,0.25,0.343
"ES23","La Rioja",2013,0.658,0.185,84,1.33,0.413,0.234,0.352
"ES23","La Rioja",2014,0.669,0.173,84.2,1.35,0.389,0.242,0.369
"ES23","La Rioja",2015,0.662,0.176,83.7,1.34,0.37,0.238,0.393
"ES23","La Rioja",2016,0.658,0.148,84.3,1.36,0.397,0.229,0.374
"ES23","La Rioja",2017,0.653,0.138,84,1.35,0.386,0.235,0.379
"ES23","La Rioja",2018,0.658,0.132,83.9,1.25,0.382,0.23,0.387
"ES23","La Rioja",2019,0.666,0.115,84.2,1.32,0.384,0.233,0.383
"ES24","Aragón",2009,0.668,0.163,82.3,1.35,0.418,0.266,0.316
"ES24","Aragón",2010,0.661,0.162,82.6,1.36,0.413,0.254,0.333
"ES24","Aragón",2011,0.667,0.181,82.7,1.34,0.406,0.244,0.35
"ES24","Aragón",2012,0.682,0.168,83,1.3,0.404,0.245,0.351
"ES24","Aragón",2013,0.67,0.19,83.4,1.3,0.403,0.249,0.348
"ES24","Aragón",2014,0.662,0.194,83.2,1.34,0.39,0.254,0.357
"ES24","Aragón",2015,0.658,0.166,83,1.35,0.39,0.255,0.356
"ES24","Aragón",2016,0.667,0.148,83.8,1.34,0.363,0.274,0.363
"ES24","Aragón",2017,0.657,0.125,83.5,1.33,0.363,0.271,0.366
