"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2011,0.126209608500966,1208300,28480.08,890.490833333333,0.556,0.28,77.1,1.78,0.692,0.184,0.124,0.315063294481038,0.510662381034096,0.382129704185752,0.107207914780152,0.296738724568898,32174095288.2719,9808.94811226078,3280076,0.0166572958658341,0.481,0.106,0.0112976040799055
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2012,0.0120129406268007,1252900,30799.99,1011.28583333333,0.545,0.281,77.5,1.84,0.675,0.189,0.136,0.30626048596201,0.504138655215703,0.386986261189915,0.108878016730609,0.314768090532787,33171723291.0316,9926.78242354474,3341639,0.0187687724308827,0.481,0.089,0.00799368214220626
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2013,0.0638967088072964,1339400,30479.68,1018.7625,0.563,0.234,78.1,1.84,0.637,0.195,0.168,0.323239489730648,0.50800682668216,0.384911468211515,0.107081705106325,0.321093478051813,36039972129.6509,10561.0711494554,3412530,0.0212144399799021,0.495,0.09,0.0110399029459082
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2014,0.0366473782920329,1301100,31347.82,988.395833333333,0.564,0.239,78,1.94,0.657,0.195,0.148,0.324803514983281,0.513595350293238,0.380420479320939,0.105984170385823,0.307243553629272,38159954412.4104,10948.1067190385,3485530,0.0213917533325714,0.49,0.099,0.0104532165839915
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2015,0.0635436844017525,1336400,34140.85,1053.90833333333,0.574,0.24,78,1.95,0.634,0.207,0.159,0.335172660636656,0.517609073351876,0.380700982548761,0.101689944099363,0.324396593266169,41568562308.9628,11643.7897571898,3570020,0.0242402159786317,0.496,0.101,0.0162693766421477
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2016,-0.00354105206935466,1304100,34882.32,1139.21333333333,0.555,0.252,77.9,1.96,0.619,0.209,0.172,0.329985670674724,0.505040184412186,0.385922372437854,0.109039935206529,0.311080223600686,42566190311.7225,11602.558491375,3668690,0.0276385006246464,0.479,0.106,0.0175378677402561
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2017,0.0702662071021474,1386000,33060.4,1009.91416666667,0.564,0.248,78.3,1.93,0.62,0.209,0.171,0.336578345265333,0.523600757743499,0.376807636479937,0.0995916057765641,0.292808275079199,46723064764.1348,12417.8262692447,3762580,0.0255922413722609,0.488,0.108,0.0129198581824174
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2018,0.00279591169403218,1428800,28741.93,843.825,0.568,0.242,78.5,1.89,0.612,0.213,0.175,0.332026878741458,0.535703421227035,0.36615766543898,0.0981361972121726,0.255495724443834,47845419044.1346,12452.5454149254,3842220,0.0211663273604814,0.493,0.101,0.00967617679362452
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Turkey",2019,-0.0506068374069865,1391800,28988.78,920.9175,0.56,0.259,78.8,1.78,0.599,0.212,0.189,0.288497903930371,0.509470160941814,0.380766255893906,0.109763583164281,0.22613444070094,46348977039.995,11822.3614738091,3920450,0.0203606248470936,0.468,0.134,0.0127245596806489
"TR51","Ankara","Turkey",2009,-0.00804094782828758,1342800,33389.36,811.704166666667,0.457,0.333,77.1,1.66,0.54,0.223,0.237,0.24904544863914,0.297242795885934,0.459526522534409,0.243228182754106,0.222291859967169,44835200000,9594.85640094016,4672837,0.0170269261449026,0.388,0.122,0.0117541014163344
