"NUTS","Year","emp_rate","unemp_rate"
"CZ08",2009,0.52,0.097
"CZ08",2010,0.509,0.102
"CZ08",2011,0.513,0.093
"CZ08",2012,0.518,0.095
"CZ08",2013,0.521,0.099
"CZ08",2014,0.528,0.086
"CZ08",2015,0.532,0.081
"CZ08",2016,0.552,0.069
"CZ08",2017,0.566,0.047
"CZ08",2018,0.576,0.037
"CZ08",2019,0.569,0.037
"DE11",2009,0.583,0.053
"DE11",2010,0.577,0.05
"DE11",2011,0.593,0.036
"DE11",2012,0.597,0.034
"DE11",2013,0.604,0.036
"DE11",2014,0.613,0.031
"DE11",2015,0.616,0.033
"DE11",2016,0.625,0.033
"DE11",2017,0.629,0.03
"DE11",2018,0.634,0.023
"DE11",2019,0.64,0.024
"DE12",2009,0.563,0.056
"DE12",2010,0.566,0.052
"DE12",2011,0.582,0.042
"DE12",2012,0.587,0.04
"DE12",2013,0.599,0.036
"DE12",2014,0.595,0.035
"DE12",2015,0.596,0.033
"DE12",2016,0.605,0.031
"DE12",2017,0.602,0.033
"DE12",2018,0.611,0.029
"DE12",2019,0.624,0.028
"DE13",2009,0.597,0.044
"DE13",2010,0.604,0.039
"DE13",2011,0.616,0.03
"DE13",2012,0.621,0.028
"DE13",2013,0.623,0.029
"DE13",2014,0.621,0.03
"DE13",2015,0.62,0.025
"DE13",2016,0.626,0.03
"DE13",2017,0.627,0.029
"DE13",2018,0.633,0.026
"DE13",2019,0.633,0.021
"DE14",2009,0.589,0.05
"DE14",2010,0.599,0.045
"DE14",2011,0.617,0.031
"DE14",2012,0.614,0.027
"DE14",2013,0.627,0.029
"DE14",2014,0.621,0.026
"DE14",2015,0.619,0.03
"DE14",2016,0.636,0.026
"DE14",2017,0.641,0.022
"DE14",2018,0.635,0.019
"DE14",2019,0.643,0.019
"DE21",2009,0.604,0.042
"DE21",2010,0.608,0.036
"DE21",2011,0.619,0.027
"DE21",2012,0.624,0.027
"DE21",2013,0.629,0.025
"DE21",2014,0.632,0.025
"DE21",2015,0.628,0.027
"DE21",2016,0.644,0.024
"DE21",2017,0.647,0.022
"DE21",2018,0.641,0.023
"DE21",2019,0.652,0.019
"DE22",2009,0.59,0.05
"DE22",2010,0.602,0.039
"DE22",2011,0.614,0.028
"DE22",2012,0.608,0.033
"DE22",2013,0.616,0.032
"DE22",2014,0.617,0.028
"DE22",2015,0.62,0.025
"DE22",2016,0.628,0.021
"DE22",2017,0.636,0.021
"DE22",2018,0.629,0.02
"DE22",2019,0.638,0.02
"DE23",2009,0.59,0.05
"DE23",2010,0.585,0.04
"DE23",2011,0.598,0.034
"DE23",2012,0.602,0.032
"DE23",2013,0.609,0.034
"DE23",2014,0.621,0.027
"DE23",2015,0.614,0.027
"DE23",2016,0.614,0.028
"DE23",2017,0.621,0.022
"DE23",2018,0.626,0.019
"DE23",2019,0.632,0.022
"DE24",2009,0.549,0.067
"DE24",2010,0.55,0.059
"DE24",2011,0.582,0.042
"DE24",2012,0.596,0.033
"DE24",2013,0.603,0.039
"DE24",2014,0.602,0.04
"DE24",2015,0.593,0.038
"DE24",2016,0.606,0.033
"DE24",2017,0.602,0.03
"DE24",2018,0.61,0.023
"DE24",2019,0.62,0.023
"DE25",2009,0.584,0.064
"DE25",2010,0.593,0.055
"DE25",2011,0.607,0.04
"DE25",2012,0.608,0.037
"DE25",2013,0.6,0.031
"DE25",2014,0.604,0.031
"DE25",2015,0.596,0.03
"DE25",2016,0.61,0.025
"DE25",2017,0.609,0.021
"DE25",2018,0.611,0.018
"DE25",2019,0.606,0.021
"DE26",2009,0.572,0.057
"DE26",2010,0.582,0.051
"DE26",2011,0.597,0.035
"DE26",2012,0.603,0.034
"DE26",2013,0.602,0.033
"DE26",2014,0.602,0.029
"DE26",2015,0.602,0.03
"DE26",2016,0.603,0.025
"DE26",2017,0.605,0.023
"DE26",2018,0.624,0.02
"DE26",2019,0.628,0.02
"DE27",2009,0.588,0.047
"DE27",2010,0.598,0.042
"DE27",2011,0.603,0.034
"DE27",2012,0.602,0.032
"DE27",2013,0.607,0.033
"DE27",2014,0.601,0.03
"DE27",2015,0.604,0.03
"DE27",2016,0.619,0.027
"DE27",2017,0.622,0.026
"DE27",2018,0.624,0.024
