"NUTS","Name","Year","GDP_EUR","GDP_EUR_to_keep","GDP_capita","GDP_growth","Population_abs","Pop_growth"
"FRG0","Pays-de-la-Loire","2007",93797400000,96042483048.9451,27469.0967920119,0.0187522138636444,3496383,0.00861905579250571
"FRG0","Pays-de-la-Loire","2008",97746200000,97792429264.4017,27745.5949789641,0.0100657909885333,3524611,0.00807348622848241
"FRG0","Pays-de-la-Loire","2009",94704300000,94704300000,26637.7087322714,-0.0399301672042966,3555272,0.00869911601592346
"FRG0","Pays-de-la-Loire","2010",95647300000,94601311966.1548,26378.4903866667,-0.00973125534970053,3586305,0.00872872736600744
"FRG0","Pays-de-la-Loire","2011",100889100000,98821837180.6806,27322.5195032715,0.0357878370887344,3616864,0.00852102651614963
"FRG0","Pays-de-la-Loire","2012",102210500000,99027718763.9363,27155.1727131081,-0.00612486671089539,3646735,0.00825881205375707
"FRG0","Pays-de-la-Loire","2013",103930100000,99954138646.3699,27192.1601260472,0.0013620761440138,3675844,0.00798220874288919
"FRG0","Pays-de-la-Loire","2014",105995400000,101292416179.75,27341.7893665542,0.00550266105426561,3704674,0.00784309671465927
"FRG0","Pays-de-la-Loire","2015",108948600000,102939468845.796,27611.9777820327,0.00988188489993273,3728073,0.00631607531458908
"FRG0","Pays-de-la-Loire","2016",110978900000,104277651894.741,27825.0483092836,0.00771659780885466,3747618,0.00524265485144738
"FRG0","Pays-de-la-Loire","2017",114320200000,106851124443.221,28346.1350161733,0.0187272525494897,3769513,0.0058423777450103
"FRG0","Pays-de-la-Loire","2018",117496900000,108806952241.933,28702.2409905473,0.0125627699921279,3790887,0.00567022848840155
"FRG0","Pays-de-la-Loire","2019",121828900000,111483412824.258,29265.4545441858,0.019622633432142,3809386,0.00487986057089014
"FRH0","Bretagne","2000",60878800000,71773415500.9526,24404.6827766469,NA,2940969,NA
"FRH0","Bretagne","2001",63380700000,73239875908.3121,24676.133922603,0.0111229122886116,2968045,0.00920648942576409
"FRH0","Bretagne","2002",65294100000,73930069405.8807,24680.3111211456,0.000169280915550164,2995508,0.00925289205520806
"FRH0","Bretagne","2003",67612900000,75137742682.5297,24854.0081459457,0.00703787824827045,3023164,0.00923249078286554
"FRH0","Bretagne","2004",72403300000,79192263361.6755,25949.0985449966,0.0440609173627205,3051831,0.00948244951315906
"FRH0","Bretagne","2005",75524500000,81003867758.9896,26295.1675876535,0.0133364572205414,3080561,0.00941402063220408
"FRH0","Bretagne","2006",79072400000,82987996910.1107,26706.467282134,0.0156416456791709,3107412,0.00871626953662012
"FRH0","Bretagne","2007",82107300000,84023145432.9527,26801.6754831434,0.00356498671290344,3134996,0.00887684027737551
"FRH0","Bretagne","2008",82365100000,82384065789.4456,26051.2530386713,-0.0279990870326022,3162384,0.00873621529341664
"FRH0","Bretagne","2009",79796100000,79796100000,25037.4796129104,-0.0389145744450768,3187066,0.00780487126168106
"FRH0","Bretagne","2010",80683200000,79796100000,24870.8631078816,-0.00665468360253648,3208417,0.00669926509209411
"FRH0","Bretagne","2011",84239600000,82556590543.2526,25579.6450439878,0.0284984856790764,3227433,0.00592691037355805
"FRH0","Bretagne","2012",85515600000,82815472156.3037,25498.1437729044,-0.0031861767801411,3247902,0.00634219207648927
"FRH0","Bretagne","2013",86911400000,83505571171.5317,25555.4250001474,0.00224648616594219,3267626,0.00607284333086405
"FRH0","Bretagne","2014",88974100000,85058388438.1353,25891.4118203978,0.0131473775234976,3285197,0.00537729838114888
"FRH0","Bretagne","2015",91303900000,86266061714.7844,26139.7178874751,0.00959028687967113,3300191,0.00456410985399049
"FRH0","Bretagne","2016",93368900000,87732616604.4845,26483.5753011528,0.0131545954381741,3312718,0.00379584090738991
"FRH0","Bretagne","2017",96797900000,90493107147.7371,27198.303402222,0.0269875986509301,3327160,0.0043595621480609
"FRH0","Bretagne","2018",98576200000,91269468539.8686,27316.3003391493,0.00433839328807534,3341209,0.00422252010723861
"FRH0","Bretagne","2019",1.01999e+11,93339860067.8932,27839.6666834369,0.0191594885760396,3352765,0.00345862829891815
"FRI1","Aquitaine","2000",63227700000,74551140689.1429,25288.1261222661,NA,2948069,NA
"FRI1","Aquitaine","2001",67331400000,77788501471.1619,26120.8443824368,0.0329292196718945,2978024,0.0101608883645532
"FRI1","Aquitaine","2002",70064400000,79268378435.962,26347.8945304687,0.00869229741227707,3008528,0.0102430336357262
"FRI1","Aquitaine","2003",7.175e+10,79730899042.6979,26233.6811407189,-0.00433482036364484,3039257,0.0102139651018704
"FRI1","Aquitaine","2004",74535300000,81488288371.5394,26531.3779029709,0.0113478836864386,3071393,0.0105736369119163
"FRI1","Aquitaine","2005",77697700000,83338181821.7282,26848.7361977534,0.0119616212901981,3103989,0.010612774073523
"FRI1","Aquitaine","2006",82261600000,86390534361.0529,27553.8361314554,0.0262619412887324,3135336,0.0100989404279461
"FRI1","Aquitaine","2007",85969900000,88055514056.9246,27828.1626304688,0.00995601838178267,3164259,0.00922484862866372
"FRI1","Aquitaine","2008",86512100000,86575542603.7472,27123.6664149073,-0.0253159443157107,3191882,0.00872968995268718
"FRI1","Aquitaine","2009",85743100000,85743100000,26634.5287064114,-0.0180336131927619,3219246,0.00857299862588905
"FRI1","Aquitaine","2010",88217400000,87222976964.8001,26893.3220582155,0.00971646071371447,3243295,0.00747038281634892
"FRI1","Aquitaine","2011",9.2075e+10,90275329504.1248,27606.2648497998,0.0265100306329187,3270103,0.00826566809371334
"FRI1","Aquitaine","2012",93303900000,90367833625.4719,27372.3223733805,-0.00847425313392144,3301431,0.00958012637522427
"FRI1","Aquitaine","2013",93525500000,89905407507.1134,26997.7371632921,-0.0136848165449311,3330109,0.00868653623231865
"FRI1","Aquitaine","2014",95500500000,91292780350.5663,27195.1240173581,0.00731123697042348,3356954,0.00806129769325869
"FRI1","Aquitaine","2015",97890600000,92495239439.7022,27349.7738396453,0.00568667464757468,3381938,0.00744246123122331
"FRI1","Aquitaine","2016",100243100000,94252628768.5438,27689.2500163909,0.0124123942938635,3403943,0.0065066243083108
"FRI1","Aquitaine","2017",102694300000,96010018097.3854,28023.9971586006,0.0120894261134367,3425993,0.00647778179599365
